A-Star Search
---END PATH---
L[63,61,0]  -  [36,35,1]R
L[63,62,1]  -  [36,34,0]R
L[62,61,0]  -  [37,35,1]R
L[62,62,1]  -  [37,34,0]R
L[62,60,0]  -  [37,36,1]R
L[62,61,1]  -  [37,35,0]R
L[61,60,0]  -  [38,36,1]R
L[61,61,1]  -  [38,35,0]R
L[61,59,0]  -  [38,37,1]R
L[61,60,1]  -  [38,36,0]R
L[60,59,0]  -  [39,37,1]R
L[60,60,1]  -  [39,36,0]R
L[60,58,0]  -  [39,38,1]R
L[60,59,1]  -  [39,37,0]R
L[59,58,0]  -  [40,38,1]R
L[59,59,1]  -  [40,37,0]R
L[59,57,0]  -  [40,39,1]R
L[59,58,1]  -  [40,38,0]R
L[58,57,0]  -  [41,39,1]R
L[58,58,1]  -  [41,38,0]R
L[58,56,0]  -  [41,40,1]R
L[58,57,1]  -  [41,39,0]R
L[57,56,0]  -  [42,40,1]R
L[57,57,1]  -  [42,39,0]R
L[57,55,0]  -  [42,41,1]R
L[57,56,1]  -  [42,40,0]R
L[56,55,0]  -  [43,41,1]R
L[56,56,1]  -  [43,40,0]R
L[56,54,0]  -  [43,42,1]R
L[56,55,1]  -  [43,41,0]R
L[55,54,0]  -  [44,42,1]R
L[55,55,1]  -  [44,41,0]R
L[55,53,0]  -  [44,43,1]R
L[55,54,1]  -  [44,42,0]R
L[54,53,0]  -  [45,43,1]R
L[54,54,1]  -  [45,42,0]R
L[54,52,0]  -  [45,44,1]R
L[54,53,1]  -  [45,43,0]R
L[53,52,0]  -  [46,44,1]R
L[53,53,1]  -  [46,43,0]R
L[53,51,0]  -  [46,45,1]R
L[53,52,1]  -  [46,44,0]R
L[52,51,0]  -  [47,45,1]R
L[52,52,1]  -  [47,44,0]R
L[52,50,0]  -  [47,46,1]R
L[52,51,1]  -  [47,45,0]R
L[51,50,0]  -  [48,46,1]R
L[51,51,1]  -  [48,45,0]R
L[51,49,0]  -  [48,47,1]R
L[51,50,1]  -  [48,46,0]R
L[50,49,0]  -  [49,47,1]R
L[50,50,1]  -  [49,46,0]R
L[50,48,0]  -  [49,48,1]R
L[50,49,1]  -  [49,47,0]R
L[49,48,0]  -  [50,48,1]R
L[49,49,1]  -  [50,47,0]R
L[49,47,0]  -  [50,49,1]R
L[49,48,1]  -  [50,48,0]R
L[48,47,0]  -  [51,49,1]R
L[48,48,1]  -  [51,48,0]R
L[48,46,0]  -  [51,50,1]R
L[48,47,1]  -  [51,49,0]R
L[47,46,0]  -  [52,50,1]R
L[47,47,1]  -  [52,49,0]R
L[47,45,0]  -  [52,51,1]R
L[47,46,1]  -  [52,50,0]R
L[46,45,0]  -  [53,51,1]R
L[46,46,1]  -  [53,50,0]R
L[46,44,0]  -  [53,52,1]R
L[46,45,1]  -  [53,51,0]R
L[45,44,0]  -  [54,52,1]R
L[45,45,1]  -  [54,51,0]R
L[45,43,0]  -  [54,53,1]R
L[45,44,1]  -  [54,52,0]R
L[44,43,0]  -  [55,53,1]R
L[44,44,1]  -  [55,52,0]R
L[44,42,0]  -  [55,54,1]R
L[44,43,1]  -  [55,53,0]R
L[43,42,0]  -  [56,54,1]R
L[43,43,1]  -  [56,53,0]R
L[43,41,0]  -  [56,55,1]R
L[43,42,1]  -  [56,54,0]R
L[42,41,0]  -  [57,55,1]R
L[42,42,1]  -  [57,54,0]R
L[42,40,0]  -  [57,56,1]R
L[42,41,1]  -  [57,55,0]R
L[41,40,0]  -  [58,56,1]R
L[41,41,1]  -  [58,55,0]R
L[41,39,0]  -  [58,57,1]R
L[41,40,1]  -  [58,56,0]R
L[40,39,0]  -  [59,57,1]R
L[40,40,1]  -  [59,56,0]R
L[40,38,0]  -  [59,58,1]R
L[40,39,1]  -  [59,57,0]R
L[39,38,0]  -  [60,58,1]R
L[39,39,1]  -  [60,57,0]R
L[39,37,0]  -  [60,59,1]R
L[39,38,1]  -  [60,58,0]R
L[38,37,0]  -  [61,59,1]R
L[38,38,1]  -  [61,58,0]R
L[38,36,0]  -  [61,60,1]R
L[38,37,1]  -  [61,59,0]R
L[37,36,0]  -  [62,60,1]R
L[37,37,1]  -  [62,59,0]R
L[37,35,0]  -  [62,61,1]R
L[37,36,1]  -  [62,60,0]R
L[36,35,0]  -  [63,61,1]R
L[36,36,1]  -  [63,60,0]R
L[36,34,0]  -  [63,62,1]R
L[36,35,1]  -  [63,61,0]R
L[35,34,0]  -  [64,62,1]R
L[35,35,1]  -  [64,61,0]R
L[35,33,0]  -  [64,63,1]R
L[35,34,1]  -  [64,62,0]R
L[34,33,0]  -  [65,63,1]R
L[34,34,1]  -  [65,62,0]R
L[34,32,0]  -  [65,64,1]R
L[34,33,1]  -  [65,63,0]R
